\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{K*\chi}{c*\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Stall},\Pi_{Occ},\Pi_{Eff}
42429.234544566614,1.0726173979680569,1.0,13.0,5.673596975938023,0.43643053661061715,12.11988545461496,3263.7872726589703,3263.7872726589703,0.43643053661061715,12.11988545461496
30588.331295227697,0.3911827570855503,1.0,9.0,0.6416898993039285,0.0712988777004365,23.007149054966476,3398.7034772475217,3398.7034772475217,0.0712988777004365,23.007149054966476
833735.7506700516,0.32020537364468793,1.0,4.0,0.16431401213603974,0.041078503034009936,12.49198273742449,208433.9376675129,208433.9376675129,0.041078503034009936,12.49198273742449
150610.47141991678,0.5374932796168321,1.0,8.0,1.1283064319777818,0.14103830399722272,14.883907024294396,18826.308927489597,18826.308927489597,0.14103830399722272,14.883907024294396
618263.4628839518,0.32773931330950357,1.0,13.0,0.4875158806358761,0.03750122158737509,39.665671684993534,47558.72791415014,47558.72791415014,0.03750122158737509,39.665671684993534
511991.3737632939,0.1647158658551426,1.0,8.0,0.0829203676113233,0.010365045951415413,48.56848463544795,63998.92172041174,63998.92172041174,0.010365045951415413,48.56848463544795
242061.6525488694,0.42729551873966354,1.0,6.0,0.7278485208207648,0.1213080868034608,14.041804177346389,40343.608758144896,40343.608758144896,0.1213080868034608,14.041804177346389
216090.71299377448,0.3112866717662943,1.0,13.0,0.4519818124432909,0.034767831726406996,41.762147817751895,16622.36253798265,16622.36253798265,0.034767831726406996,41.762147817751895
167137.2139005379,0.22055573780770218,1.0,11.0,0.28296521582498985,0.02572411052954453,49.87401420311569,15194.292172776173,15194.292172776173,0.02572411052954453,49.87401420311569
220726.87365100396,0.34766923641127656,1.0,8.0,0.5322966571675486,0.06653708214594357,23.01037642150303,27590.859206375495,27590.859206375495,0.06653708214594357,23.01037642150303
500645.2273933493,0.09494314790475575,1.0,6.5,0.04757879516208367,0.007319814640320566,68.46202325754581,77022.3426758999,77022.3426758999,0.007319814640320566,68.46202325754581
92367.23219782651,0.7411424582407471,1.0,14.0,2.693499601063111,0.19239282864736507,18.88975573364378,6597.659442701894,6597.659442701894,0.19239282864736507,18.88975573364378
31039.456293188367,0.19178606773155443,1.0,13.0,0.23729616509165324,0.018253551160896404,67.78386018214981,2387.650484091413,2387.650484091413,0.018253551160896404,67.78386018214981
42419.62822328507,0.40844327993192725,1.0,13.0,0.6904046272005899,0.053108048246199226,31.828164738483718,3263.0483248680825,3263.0483248680825,0.053108048246199226,31.828164738483718
613133.2142875186,0.23724686993583527,1.0,4.5,0.12031646562793506,0.026736992361763346,18.96758427715843,136251.82539722635,136251.82539722635,0.026736992361763346,18.96758427715843
