\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln\left(\frac{\lambda*W}{K}\right),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
83849.19581581745,0.9805180917403348,1.0,10.0,4.489790459202622,0.37085920217136215,0.6833584729739023,9.034190083583024,0.37085920217136215,0.6833584729739023,9.034190083583024
165778.7079178,1.1820341336015283,1.0,5.5,0.8949746573179578,0.15076437989445154,0.7802575305522863,10.313661000952845,0.15076437989445154,0.7802575305522863,10.313661000952845
576052.9495433583,0.9910140242911337,1.0,5.5,0.6550494290191543,0.11252469807560009,0.6886440689001112,11.559206769514741,0.11252469807560009,0.6886440689001112,11.559206769514741
574556.1469642279,0.20765582785560066,1.0,4.5,0.1049593997041608,0.02305645632408667,0.18868114820229215,11.757275706605608,0.02305645632408667,0.18868114820229215,11.757275706605608
167374.72577030023,0.6486968500733042,1.0,10.0,1.7515744977854664,0.16140213843047854,0.49998518803140524,9.725405351642896,0.16140213843047854,0.49998518803140524,9.725405351642896
63917.60470503053,1.3842369656114404,1.0,3.0,1.4359311297550457,0.3911252553963014,0.8688791425903635,9.966737817791284,0.3911252553963014,0.8688791425903635,9.966737817791284
2881.392672164832,1.0099930644099568,1.0,7.0,3.2314746832699486,0.37955857333151527,0.6981312715227213,6.020118876347249,0.37955857333151527,0.6981312715227213,6.020118876347249
327940.7887111124,0.4804347743357394,1.0,1.5,0.24465330243821157,0.1510907472554626,0.39233581107817805,12.295123240744374,0.1510907472554626,0.39233581107817805,12.295123240744374
852048.2924395298,0.3322039948765622,1.0,5.5,0.17081475044277786,0.030584710141556004,0.2868347096987679,11.950650393240213,0.030584710141556004,0.2868347096987679,11.950650393240213
870866.3822807306,0.6307341659830557,1.0,3.5,0.34961902052312116,0.0952112191996055,0.4890303219937364,12.424480868320005,0.0952112191996055,0.4890303219937364,12.424480868320005
589519.3939449273,0.44557387175163593,1.0,2.0,0.2322578572048088,0.10986638470784987,0.3685063858046724,12.593915716835435,0.10986638470784987,0.3685063858046724,12.593915716835435
363064.0994385665,0.8997413941469912,1.0,1.5,0.45354164788637763,0.2641788468020213,0.6417177685651247,12.396869572029495,0.2641788468020213,0.6417177685651247,12.396869572029495
365351.0246468988,0.4445375197193836,1.0,1.5,0.22616540414011405,0.14043731086547404,0.3677892147781645,12.403148773673843,0.14043731086547404,0.3677892147781645,12.403148773673843
819794.3669700548,0.3016835810344776,1.0,3.5,0.15435200878057478,0.043155820009502105,0.2636584889317977,12.364045847313047,0.043155820009502105,0.2636584889317977,12.364045847313047
294201.31722689053,0.08604565391531104,1.0,5.5,0.04310260831841697,0.00780628936083726,0.08254325922419735,10.887271472237499,0.00780628936083726,0.08254325922419735,10.887271472237499
485917.20134775713,0.5339801711172271,1.0,3.0,0.2869646332388844,0.09135224636949964,0.4278657766015634,11.99518123210928,0.09135224636949964,0.4278657766015634,11.99518123210928
421855.98876938655,0.0787867341325874,1.0,5.5,0.03945459417991354,0.007147954970388739,0.07583701533407038,11.247671183710397,0.007147954970388739,0.07583701533407038,11.247671183710397
31869.99271800858,0.17871688941839028,1.0,6.0,0.21756615915443725,0.0356190682076084,0.164426465000186,8.57766070988109,0.0356190682076084,0.164426465000186,8.57766070988109
84689.04150635704,0.03113226856577488,1.0,4.0,0.032132484014385225,0.008001027247848467,0.03065748833456316,9.960447131106925,0.008001027247848467,0.03065748833456316,9.960447131106925
879452.8086852531,0.41839296108776175,1.0,6.0,0.21877055821356411,0.03581275853463375,0.3495245131934675,11.895295715517978,0.03581275853463375,0.3495245131934675,11.895295715517978
254618.60970571148,0.20830732490215206,1.0,8.0,0.2631097515254439,0.03235945823654586,0.18922047518797044,10.368080514680972,0.03235945823654586,0.18922047518797044,10.368080514680972
70040.58998373745,0.9495859072360892,1.0,5.0,0.610972833027502,0.1152862025884744,0.6676169947615398,9.54739229752726,0.1152862025884744,0.6676169947615398,9.54739229752726
208369.3347374469,0.407755811202791,1.0,5.5,0.21271981132961146,0.037947142248971645,0.341996813151736,10.54231933964878,0.037947142248971645,0.341996813151736,10.54231933964878
610933.1173734755,0.4513249931766288,1.0,6.0,0.23777058262904624,0.03886337088930651,0.3724769275797066,11.530983298743324,0.03886337088930651,0.3724769275797066,11.530983298743324
449384.3259257252,0.2077574952332735,1.0,2.5,0.10500518710083945,0.04114393453872802,0.18876533038077153,12.099343028476657,0.04114393453872802,0.18876533038077153,12.099343028476657
185491.91157282644,0.053913838454932035,1.0,6.0,0.026976522405217602,0.0044860098621153895,0.05251069958122724,10.339007087502274,0.0044860098621153895,0.05251069958122724,10.339007087502274
275984.77650291444,0.5382549246156534,1.0,11.0,1.158596575810007,0.10014118390551845,0.4306486080737108,10.130205712821402,0.10014118390551845,0.4306486080737108,10.130205712821402
387263.2641821365,0.26594743390289405,1.0,3.5,0.1353666024050762,0.03794699088619574,0.23582080145622994,11.614097041451862,0.03794699088619574,0.23582080145622994,11.614097041451862
1359602.4740000216,0.39903550314978337,1.0,2.5,0.20748247870040998,0.07972849660379026,0.33578307288084236,13.206412184582982,0.07972849660379026,0.33578307288084236,13.206412184582982
199357.38727000865,0.03673451552187643,1.0,4.0,0.018373456159508972,0.004582846737510235,0.03607588443780947,10.816560047807682,0.004582846737510235,0.03607588443780947,10.816560047807682
123404.71052638086,0.6872913520778735,1.0,5.0,1.4909482667373053,0.260970719586596,0.5231244929069836,10.113786650154461,0.260970719586596,0.5231244929069836,10.113786650154461
669412.8287341794,0.13417811156828696,1.0,3.5,0.06739238190741552,0.01907193516967867,0.12590825784719684,12.161393263612297,0.01907193516967867,0.12590825784719684,12.161393263612297
128062.77384087179,0.9611113957188484,1.0,6.0,2.795275288073255,0.3824552089915989,0.6735113511688342,9.968516374135467,0.3824552089915989,0.6735113511688342,9.968516374135467
998885.0727557596,0.23350521382410144,1.0,5.5,0.11836607508080613,0.02129279542447327,0.2098598838320919,12.109646916493373,0.02129279542447327,0.2098598838320919,12.109646916493373
