\Pi_{1}=\frac{\lambda_{TAS}*W_{TAS}}{c_{TAS}},\Pi_{2}=\frac{\mu_{TAS}}{\lambda_{TAS}},\Pi_{3}=\frac{\chi_{TAS}}{\lambda_{TAS}},\Pi_{4}=\frac{K_{TAS}}{c_{TAS}},\Pi_{5}=\frac{L_{TAS}}{c_{TAS}},O=\Pi_{Occ}=\frac{L}{K},\eta=\Pi_{Eff}=\frac{\chi}{\mu},S=\Pi_{Stall}=\ln(\frac{\lambda*W}{K}),\Pi_{Occ},\Pi_{Eff},\Pi_{Stall}
613422.9943914228,0.17448592894844323,1.0,1.5,7.764931147146281e-06,5.176620764764187e-06,0.17448592894844323,12.921347353924158,5.176620764764187e-06,0.17448592894844323,12.921347353924158
1105072.6600787768,0.4742475931464169,1.0,9.0,0.682581792979254,0.07584242144213933,0.4742475931464169,11.718205213391041,0.07584242144213933,0.4742475931464169,11.718205213391041
399157.8869478789,0.08382941344869425,1.0,3.0,0.03767479294875897,0.01255826431625299,0.08382941344869425,11.798507551363643,0.01255826431625299,0.08382941344869425,11.798507551363643
1815579.2964191244,0.42830438065311843,1.0,1.5,0.24206337285361357,0.16137558190240903,0.42830438065311843,14.00645086441154,0.16137558190240903,0.42830438065311843,14.00645086441154
16941238.29480697,0.2849529860670106,1.0,3.0,2.3800279664995108,0.7933426554998368,0.2849529860670106,15.54664923179815,0.7933426554998368,0.2849529860670106,15.54664923179815
23038.13310759795,0.8354272931857307,1.0,4.5,0.21243239433820243,0.04720719874182276,0.8354272931857307,8.541023995687553,0.04720719874182276,0.8354272931857307,8.541023995687553
47302766.04222341,0.39515036976070506,1.0,4.0,0.02052751402362975,0.005131878505907438,0.39515036976070506,16.28578505388805,0.005131878505907438,0.39515036976070506,16.28578505388805
144330289.18688166,0.16524856562522017,1.0,9.0,1.1037187007457312,0.12263541119397013,0.16524856562522017,16.590390391013024,0.12263541119397013,0.16524856562522017,16.590390391013024
1710669.9726152695,1.6186762788129654,1.0,9.0,0.003924528579485064,0.000436058731053896,1.6186762788129654,12.155176332344087,0.000436058731053896,1.6186762788129654,12.155176332344087
11944795.849250035,0.20876867083566059,1.0,6.0,0.10656392793103955,0.017760654655173257,0.20876867083566059,14.50404728078285,0.017760654655173257,0.20876867083566059,14.50404728078285
370247.8395302522,0.4481593381274084,1.0,2.5,0.3025328363384153,0.12101313453536613,0.4481593381274084,11.905643917285186,0.12101313453536613,0.4481593381274084,11.905643917285186
16417579.47319215,0.18910192798221864,1.0,2.0,0.008175365825178492,0.004087682912589246,0.18910192798221864,15.920716179057138,0.004087682912589246,0.18910192798221864,15.920716179057138
51514347.78422931,0.2640513400606335,1.0,3.0,2.7944943554139274,0.9314981184713091,0.2640513400606335,16.658758694152933,0.9314981184713091,0.2640513400606335,16.658758694152933
605939.2802830155,0.9989255053431427,1.0,3.5,0.031526899072746785,0.009007685449356224,0.9989255053431427,12.061777870122826,0.009007685449356224,0.9989255053431427,12.061777870122826
883387.6750596684,0.35495967743440604,1.0,2.5,0.003329467589582826,0.0013317870358331306,0.35495967743440604,12.775231524473977,0.0013317870358331306,0.35495967743440604,12.775231524473977
345150.05541270436,0.21567490995623392,1.0,4.5,0.1278003907361611,0.02840008683025802,0.21567490995623392,11.24767018562463,0.02840008683025802,0.21567490995623392,11.24767018562463
8105783.187515868,0.45482050716856925,1.0,1.5,0.07942334265777273,0.05294889510518182,0.45482050716856925,15.502623415596922,0.05294889510518182,0.45482050716856925,15.502623415596922
