_idx,dm,_sym,_alias,_fwk,name,description,relevant,_cat,_dims,_units,_min,_max,_mean,_std_units,_std_min,_std_max,_std_mean,_dist_type,_depends,_dist_params
11,1,Wq_{1},Wq_tas_1,CUSTOM,TAS 1 mean time in buffer,Average time for a request to transit the buffer in TAS 1,FALSE,CTRL,T,s,0,0.000690691,0.000690691,s,0,0.000690691,0.000690691,queue_time,"['\chi_{1}' , 'Lq_{1}']",{}
12,2,\lambda_{2},lambda_tas_2,CUSTOM,TAS 2 arrival rate,Arrival rate for TAS 2,TRUE,IN,E*T^-1,req/s,0.1,517.5,258.8,req/s,0.1,517.5,258.8,uniform,[],"{'low': 0.1, 'high': 517.5}"
13,2,\mu_{2},mu_tas_2,CUSTOM,TAS 2 service rate,Service rate for TAS 2,TRUE,CTRL,E*T^-1,req/s,0.1,1400.1,700.1,req/s,0.1,1400.1,700.1,uniform,[],"{'low': 0.1, 'high': 1400.1}"
14,2,err_{2},err_tas_2,CUSTOM,TAS 2 error probability,Service error probability for TAS 2,FALSE,CTRL,E*T^-1,n.a.,0.00%,0.00%,0.00%,n.a.,0,0,0,constant,[],{'constant': 0}
15,2,\chi_{2},chi_tas_2,CUSTOM,TAS 2 departure rate,Departure rate for TAS 2,TRUE,CTRL,E*T^-1,req/s,0.1,517.5,258.8,req/s,0.1,517.5,258.8,adjusted_rate,"['\mu_{2}' , 'err_{2}']",{}
16,2,c_{2},c_tas_2,CUSTOM,TAS 2 resourses,Number of resources allocated in TAS 2,TRUE,IN,E,req,1,3,2,req,1,3,2,uniform_int,[],"{'low': 1, 'high': 3}"
17,2,K_{2},K_tas_2,CUSTOM,TAS 2 q-capacity,Allocated request capacity in TAS 2 memory buffer,TRUE,CTRL,E,req,1,11,6,req,1,11,6,shifted_uniform_int,['c_{2}'],"{'low': 1, 'high': 11}"
18,2,\delta_{2},delta_tas_2,CUSTOM,TAS 2 req data density,Data density for request in TAS 2 expected data per requests,FALSE,IN,D*E^-1,kB/req,128,2000,1064,bit/req,131072000,2048000000,1089536000,uniform,[],"{'low': 131072000, 'high': 2048000000}"
19,2,L_{2},L_tas_2,CUSTOM,TAS 2 mean processing requests,Average number of request in TAS 2 component,TRUE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{2}' , '\mu_{2}' , 'c_{2}' , 'K_{2}']",{}
20,2,Lq_{2},Lq_tas_2,CUSTOM,TAS 2 mean in memory requests,Average number of request in TAS 2 memory,FALSE,CTRL,E,req,1,11,6,req,1,11,6,queue_length,"['\lambda_{2}' , '\mu_{2}' , 'c_{2}' , 'K_{2}']",{}
21,2,W_{2},W_tas_2,CUSTOM,TAS 2 mean time to answer,Average time to complete a request in TAS 2,TRUE,OUT,T,s,0,0.002266289,0.002266289,s,0,0.002266289,0.002266289,queue_time,"['\chi_{2}' , 'L_{2}']",{}
22,2,Wq_{2},Wq_tas_2,CUSTOM,TAS 2 mean time in buffer,Average time for a request to transit the buffer in TAS 2,FALSE,CTRL,T,s,0,0.000837718,0.000837718,s,0,0.000837718,0.000837718,queue_time,"['\chi_{2}' , 'Lq_{2}']",{}
23,3,\lambda_{3},lambda_tas_3,CUSTOM,TAS 3 arrival rate,Arrival rate for TAS 3,TRUE,IN,E*T^-1,req/s,0.1,346.6905,173.39525,req/s,0.1,346.6905,173.39525,uniform,[],"{'low': 0.1, 'high': 346.6905}"
24,3,\mu_{3},mu_tas_3,CUSTOM,TAS 3 service rate,Service rate for TAS 3,TRUE,CTRL,E*T^-1,req/s,0.1,1400,700.05,req/s,0.1,1400,700.05,uniform,[],"{'low': 0.1, 'high': 1400}"
25,3,err_{3},err_tas_3,CUSTOM,TAS 3 error probability,Service error probability for TAS 3,FALSE,CTRL,E*T^-1,n.a.,0.00%,0.00%,0.00%,n.a.,0,0,0,constant,[],{'constant': 0}
26,3,\chi_{3},chi_tas_3,CUSTOM,TAS 3 departure rate,Departure rate for TAS 3,TRUE,CTRL,E*T^-1,req/s,0.1,346.6905,173.39525,req/s,0.1,346.6905,173.39525,adjusted_rate,"['\mu_{3}' , 'err_{3}']",{}
